user_id,first_name,last_name,full_name,gender,date_of_birth,age,email,phone,address,city,state,country,zipcode,account_created_at,last_login_at,account_status,customer_segment,total_purchases,lifetime_value,average_order_value,preferred_categories,email_subscribed,sms_subscribed,preferred_language,preferred_currency,is_premium_member,referral_code,kyc_verified
USER-446479,Kevin,Hernandez,Kevin Hernandez,Male,1975-01-18,50,kevin.hernandez244@gmail.com,450-453-3158x6923,2160 Walker Viaduct,East Jillmouth,Nebraska,Turkmenistan,54465,2024-05-08 07:47:42,2025-09-06 07:47:42,inactive,regular,9,16851,1872.33,"grocery,clothing,sports",False,True,English,USD,False,REF96374,False
USER-471507,Tamara,Bailey,Tamara Bailey,Female,1981-10-14,44,tamara.bailey479@gmail.com,803.765.4145,655 Obrien Pass,West Gregoryview,Alaska,Wallis and Futuna,05515,2021-01-25 07:47:42,2025-11-24 07:47:42,active,occasional,1,996,996.0,"clothing,grocery",True,True,Hindi,INR,False,REF28373,False
USER-292401,Ashley,Lam,Ashley Lam,Female,1978-02-11,47,ashley.lam256@yahoo.com,7607883561,482 Robert Light Apt. 994,Williamchester,Delaware,Panama,43254,2021-01-04 07:47:42,2025-11-21 07:47:42,active,regular,8,5828,728.5,"electronics,grocery,clothing",True,False,German,INR,False,REF38016,False
USER-161483,Jared,Bass,Jared Bass,Male,1983-03-28,42,jared.bass3@yahoo.com,969.495.7773,433 Andrew Gardens,Zacharymouth,Colorado,Palestinian Territory,12741,2023-09-22 07:47:42,2025-10-28 07:47:42,active,new,0,0,0.0,"toys,beauty",False,True,Spanish,GBP,False,REF38534,True
USER-707314,Tracey,Carr,Tracey Carr,Other,1973-09-24,52,tracey.carr63@gmail.com,569.436.7632x016,78895 Salazar Stravenue Suite 872,Williamsbury,Vermont,Spain,16407,2021-09-20 07:47:42,2025-10-21 07:47:42,active,loyal,38,35623,937.45,"home,electronics,books",True,True,English,CAD,True,REF18907,True
USER-523389,Patrick,Wells,Patrick Wells,Male,1951-03-10,74,patrick.wells584@gmail.com,+1-348-473-4714x3455,5876 Jamie Manor Suite 909,Bensonborough,Iowa,Canada,08919,2024-07-13 07:47:42,2025-09-17 07:47:42,active,regular,7,11868,1695.43,"beauty,home,clothing",False,True,French,INR,False,REF27154,False
USER-579434,Jamie,Smith,Jamie Smith,Female,1959-04-15,66,jamie.smith959@yahoo.com,001-766-888-9373x46706,901 Taylor Mountain Apt. 046,Calhounside,Hawaii,Saint Kitts and Nevis,04035,2025-07-04 07:47:42,2025-11-29 07:47:42,active,regular,8,6200,775.0,"books,clothing,home",True,True,French,GBP,False,REF30676,False
USER-974244,Mark,Gibson,Mark Gibson,Other,1962-04-10,63,mark.gibson310@yahoo.com,264-517-0805x310,374 Jackson Rest,East David,Alaska,Cook Islands,88248,2022-06-26 07:47:42,2025-09-08 07:47:42,active,regular,14,15868,1133.43,books,True,True,Hindi,EUR,False,REF45697,False
USER-734210,Victor,Higgins,Victor Higgins,Male,1962-09-28,63,victor.higgins352@gmail.com,619-304-9663x1931,67165 Zimmerman Mews Apt. 849,West Amandastad,Oregon,South Africa,09539,2024-10-09 07:47:42,2025-09-04 07:47:42,active,occasional,3,4640,1546.67,clothing,False,False,English,USD,False,REF53719,True
USER-768061,Rhonda,Medina,Rhonda Medina,Female,1997-06-05,28,rhonda.medina760@yahoo.com,(294)953-1473x79965,9480 Christopher Stravenue Suite 783,South Jason,Massachusetts,Thailand,34363,2023-06-09 07:47:42,2025-09-21 07:47:42,active,occasional,5,579,115.8,"home,books,electronics",False,True,German,EUR,False,REF15482,False
USER-482364,Michael,Brewer,Michael Brewer,Male,1950-06-08,75,michael.brewer367@yahoo.com,9147363495,3135 Julia Track Apt. 337,Michaelmouth,West Virginia,Jamaica,36010,2024-09-25 07:47:42,2025-09-04 07:47:42,active,regular,8,10794,1349.25,"home,clothing",True,True,German,USD,False,REF33509,False
USER-920391,Destiny,Lawrence,Destiny Lawrence,Female,1956-09-20,69,destiny.lawrence686@hotmail.com,+1-641-234-3524x082,09477 Peterson Center Suite 711,Heidiberg,Oklahoma,Austria,84107,2021-01-25 07:47:42,2025-10-30 07:47:42,inactive,regular,8,11267,1408.38,"sports,clothing",False,False,French,EUR,False,REF39219,True
USER-792094,James,Jones,James Jones,Male,1982-08-01,43,james.jones337@hotmail.com,8225941318,9909 Stacey Fords Apt. 412,Hayesmouth,North Dakota,Singapore,39475,2024-05-08 07:47:42,2025-11-22 07:47:42,active,new,0,0,0.0,"toys,beauty,books",False,True,English,GBP,False,REF33405,False
USER-140115,David,Arnold,David Arnold,Male,1969-01-29,56,david.arnold445@gmail.com,(579)874-0344x71349,02499 Gonzales Mountain,Lake Edward,Ohio,Brazil,35317,2023-12-23 07:47:42,2025-10-21 07:47:42,inactive,regular,8,11311,1413.88,books,True,False,English,CAD,False,REF80575,True
USER-481913,Melissa,Lyons,Melissa Lyons,Female,2003-03-15,22,melissa.lyons972@hotmail.com,+1-677-219-0659,78742 Walters Overpass,Port Emilyview,Iowa,Bermuda,76030,2022-03-10 07:47:42,2025-10-19 07:47:42,active,occasional,1,2960,2960.0,"toys,home,sports",False,True,Spanish,INR,False,REF97153,False
USER-810219,Tanya,Harrison,Tanya Harrison,Other,1950-05-07,75,tanya.harrison179@yahoo.com,712-356-7468x07154,85977 James Plaza,Lake Mollymouth,Montana,Sierra Leone,54666,2022-06-18 07:47:42,2025-09-19 07:47:42,active,regular,5,9978,1995.6,"beauty,sports",False,False,Spanish,CAD,False,REF72021,True
USER-790855,Carlos,Roberts,Carlos Roberts,Male,1989-11-07,36,carlos.roberts528@hotmail.com,310.993.2480x8613,7737 Patrick Rapid Apt. 146,South Sarah,Delaware,Yemen,38755,2022-03-11 07:47:42,2025-09-10 07:47:42,active,occasional,1,2424,2424.0,sports,True,True,English,EUR,False,REF72277,True
USER-577538,Gina,French,Gina French,Female,1951-03-13,74,gina.french645@gmail.com,849-997-2787x5588,0576 Mcneil Turnpike,Lake John,Massachusetts,Venezuela,50697,2022-09-08 07:47:42,2025-11-06 07:47:42,active,occasional,4,4549,1137.25,electronics,True,False,Spanish,EUR,False,REF77889,False
USER-152657,Lori,Pollard,Lori Pollard,Other,1992-06-09,33,lori.pollard940@gmail.com,(289)451-7187,615 Finley Road Suite 809,North Terrance,Tennessee,Ireland,35238,2021-02-26 07:47:42,2025-11-15 07:47:42,active,regular,19,15937,838.79,"beauty,toys,sports",False,False,Spanish,INR,False,REF68991,False
USER-888295,Barry,Welch,Barry Welch,Male,1954-11-22,71,barry.welch653@yahoo.com,216.711.7240,692 Gregory Ridge,Michaelchester,Arkansas,South Africa,19581,2024-05-11 07:47:42,2025-09-25 07:47:42,active,regular,12,9499,791.58,"books,clothing,home",False,False,Hindi,USD,False,REF28136,True
USER-342495,Shelby,Harvey,Shelby Harvey,Female,1963-03-03,62,shelby.harvey157@yahoo.com,001-623-474-7407,474 Yvonne Walk Suite 136,Vanessaport,New Hampshire,Barbados,84247,2021-12-14 07:47:42,2025-11-03 07:47:42,active,loyal,33,30842,934.61,"electronics,clothing",False,False,Hindi,USD,True,REF85456,False
USER-600149,Kenneth,Andrews,Kenneth Andrews,Male,1985-08-28,40,kenneth.andrews306@yahoo.com,5647090974,104 Johnson Lakes,New John,South Dakota,Cyprus,99536,2021-09-08 07:47:42,2025-10-12 07:47:42,active,occasional,4,4909,1227.25,"sports,grocery,clothing",False,False,German,USD,False,REF60968,False
USER-801364,Jessica,Davis,Jessica Davis,Other,1956-03-23,69,jessica.davis415@yahoo.com,001-662-732-8588x4247,685 Krystal Bridge,Mccartyberg,Delaware,Spain,99349,2021-11-07 07:47:42,2025-11-09 07:47:42,active,occasional,2,4875,2437.5,"electronics,grocery",False,True,German,EUR,False,REF16590,False
USER-497519,Deborah,Martinez,Deborah Martinez,Female,1994-04-22,31,deborah.martinez466@hotmail.com,001-549-365-1370x9859,47113 Paul Land,Debraville,New Jersey,North Macedonia,18821,2024-01-30 07:47:42,2025-10-18 07:47:42,active,occasional,4,2779,694.75,"books,toys",True,False,English,CAD,False,REF16826,False
USER-335113,Ellen,Paul,Ellen Paul,Other,2003-06-27,22,ellen.paul800@yahoo.com,001-726-517-9640,506 Lopez Crossing Suite 139,Port Michael,New Hampshire,Kenya,90374,2022-04-05 07:47:42,2025-11-25 07:47:42,active,occasional,2,2133,1066.5,"home,clothing,toys",False,True,Hindi,EUR,False,REF70952,False
USER-904150,Tricia,Williams,Tricia Williams,Female,1997-04-08,28,tricia.williams621@gmail.com,(793)418-3933,10205 Brianna Brook Apt. 402,West Micheleberg,Rhode Island,Solomon Islands,17539,2022-07-05 07:47:42,2025-11-16 07:47:42,active,occasional,2,3048,1524.0,books,False,False,Spanish,USD,False,REF87607,True
USER-206851,Judy,Fox,Judy Fox,Other,1958-09-15,67,judy.fox309@gmail.com,975.289.1783x9084,15921 Joshua Roads Suite 698,Simmonsville,New Mexico,Bahamas,64761,2021-02-22 07:47:42,2025-09-04 07:47:42,active,occasional,1,836,836.0,"beauty,electronics",False,True,German,INR,False,REF23833,False
USER-479781,Kenneth,Wagner,Kenneth Wagner,Other,1950-05-16,75,kenneth.wagner849@gmail.com,001-318-736-7365x766,11161 Cain Point Apt. 988,Nicholasberg,Massachusetts,Japan,90524,2023-05-03 07:47:42,2025-09-01 07:47:42,active,loyal,25,44045,1761.8,"books,grocery,toys",False,False,German,CAD,True,REF45179,False
USER-993085,Gary,Martinez,Gary Martinez,Male,1954-04-16,71,gary.martinez958@hotmail.com,001-360-749-4519x83273,8998 Chelsea Shoals,Dannyview,Oklahoma,Tanzania,75749,2025-06-05 07:47:42,2025-10-26 07:47:42,active,occasional,2,4306,2153.0,"toys,home,electronics",False,False,Spanish,INR,False,REF37802,False
USER-936587,Sandra,Adams,Sandra Adams,Female,1986-02-08,39,sandra.adams287@yahoo.com,001-345-550-2296x120,910 Eric River Apt. 147,Petersonstad,Nebraska,Honduras,41347,2020-12-23 07:47:42,2025-09-15 07:47:42,active,occasional,3,583,194.33,clothing,True,False,German,CAD,False,REF41499,False
USER-777278,Ebony,Tucker,Ebony Tucker,Other,1976-05-19,49,ebony.tucker459@yahoo.com,238-515-6149x784,5107 Thompson Light Apt. 885,North Jamesborough,Rhode Island,Indonesia,18488,2021-06-20 07:47:42,2025-11-28 07:47:42,active,loyal,27,33251,1231.52,"beauty,sports",False,False,Hindi,GBP,True,REF56112,False
USER-384076,Andrea,Hensley,Andrea Hensley,Female,1990-12-16,34,andrea.hensley237@yahoo.com,6713596966,61369 Warren Locks Suite 535,Georgemouth,Alaska,Iraq,90889,2025-03-27 07:47:42,2025-11-06 07:47:42,active,regular,10,8138,813.8,"books,beauty",False,True,Spanish,GBP,False,REF39816,False
USER-288158,Peggy,Jones,Peggy Jones,Female,2007-08-02,18,peggy.jones726@gmail.com,383.455.2312x43292,995 Hernandez Cliff Suite 744,Marshallshire,Wyoming,Zambia,76453,2022-12-02 07:47:42,2025-11-14 07:47:42,active,regular,6,14066,2344.33,grocery,True,True,Hindi,GBP,False,REF71524,False
USER-561865,Leslie,Bell,Leslie Bell,Female,1995-12-28,29,leslie.bell989@yahoo.com,970.205.4119x986,71518 Benjamin Station,West Cassidy,Oregon,Korea,66216,2025-08-16 07:47:42,2025-10-29 07:47:42,active,new,0,0,0.0,toys,False,True,Hindi,USD,False,REF29887,True
USER-950544,Samuel,Gonzales,Samuel Gonzales,Other,1988-06-20,37,samuel.gonzales88@hotmail.com,(755)346-6590,254 Anderson Station,Mitchellberg,Connecticut,Greenland,44195,2024-07-09 07:47:42,2025-11-15 07:47:42,active,regular,18,14933,829.61,"sports,toys,books",False,False,German,GBP,False,REF87139,False
USER-420214,Sharon,Collins,Sharon Collins,Other,1968-04-24,57,sharon.collins62@hotmail.com,528-516-8505x42357,592 Moore Falls,West Meganville,Georgia,Burundi,67044,2022-06-30 07:47:42,2025-11-18 07:47:42,active,new,0,0,0.0,books,True,True,Spanish,EUR,False,REF82350,True
USER-264136,Ronald,Wise,Ronald Wise,Male,1981-10-10,44,ronald.wise462@gmail.com,001-670-965-3794x7383,6886 Lisa Unions Apt. 407,Erikashire,Illinois,United Kingdom,58250,2022-01-18 07:47:42,2025-09-15 07:47:42,active,regular,6,8792,1465.33,"grocery,electronics",True,False,Hindi,EUR,False,REF65723,True
USER-671015,Shane,Spencer,Shane Spencer,Male,1966-01-08,59,shane.spencer153@hotmail.com,214.812.4782x61375,51522 Justin Village,Joeland,Montana,Austria,49641,2024-06-03 07:47:42,2025-11-12 07:47:42,active,loyal,25,45972,1838.88,"books,sports,electronics",False,False,German,GBP,True,REF75597,False
USER-559023,John,Guerra,John Guerra,Male,1969-09-20,56,john.guerra41@hotmail.com,379.601.0432x8986,9808 Jennifer Highway,North Johnmouth,Maryland,Dominica,08733,2020-12-04 07:47:42,2025-10-06 07:47:42,active,occasional,5,2551,510.2,electronics,False,True,Spanish,INR,False,REF78021,False
USER-391668,Jeffrey,Mendez,Jeffrey Mendez,Male,1970-03-03,55,jeffrey.mendez447@hotmail.com,(221)885-1888x88067,520 Payne Via,West Kristinastad,Kentucky,Holy See (Vatican City State),32105,2022-05-09 07:47:42,2025-09-29 07:47:42,active,new,0,0,0.0,"beauty,home",True,True,French,INR,False,REF74942,False
USER-794769,Maria,Greer,Maria Greer,Female,1955-08-22,70,maria.greer779@yahoo.com,001-772-621-7043x030,54156 Paul Lights Suite 277,Kingborough,Montana,Malaysia,38002,2022-10-30 07:47:42,2025-11-26 07:47:42,active,regular,15,9135,609.0,"electronics,beauty",False,False,English,EUR,False,REF77952,False
USER-752878,Holly,Salinas,Holly Salinas,Female,1967-03-13,58,holly.salinas453@gmail.com,001-661-969-2845x1154,59640 Emily Lodge Suite 820,Jacksonmouth,Virginia,Netherlands,46578,2021-08-26 07:47:42,2025-11-24 07:47:42,active,regular,9,9719,1079.89,"grocery,electronics,toys",True,True,French,CAD,False,REF11792,False
USER-197736,Charles,Lawson,Charles Lawson,Male,1954-09-29,71,charles.lawson935@yahoo.com,4219355690,565 Wright Crescent,Scottland,Mississippi,Yemen,75726,2025-04-11 07:47:42,2025-10-02 07:47:42,active,new,0,0,0.0,grocery,False,False,German,INR,False,REF71894,True
USER-578975,Anthony,Lopez,Anthony Lopez,Other,1998-06-19,27,anthony.lopez393@yahoo.com,+1-514-347-3947,518 Vance Vista Apt. 258,Thompsonmouth,California,Burkina Faso,12007,2024-11-04 07:47:42,2025-09-15 07:47:42,active,regular,9,19156,2128.44,"beauty,toys",False,True,French,GBP,False,REF86931,False
USER-255813,Courtney,Galloway,Courtney Galloway,Female,1973-10-03,52,courtney.galloway496@gmail.com,470.358.9578,9125 Shannon Springs Suite 289,Keyfort,Maryland,Bahrain,69404,2023-12-24 07:47:42,2025-10-19 07:47:42,inactive,regular,17,12460,732.94,sports,False,True,German,USD,False,REF51704,False
USER-839485,Catherine,Burch,Catherine Burch,Female,1983-05-17,42,catherine.burch680@hotmail.com,7186242253,498 Wayne Extension,Jamesside,Colorado,Tanzania,36473,2021-06-21 07:47:42,2025-09-08 07:47:42,active,new,0,0,0.0,home,False,True,German,USD,False,REF78937,False
USER-116093,Brittany,Carpenter,Brittany Carpenter,Other,1998-02-04,27,brittany.carpenter420@hotmail.com,+1-895-290-0109x439,647 Haley Estate,Dawnport,South Dakota,Luxembourg,63801,2021-01-11 07:47:42,2025-09-08 07:47:42,active,new,0,0,0.0,"beauty,books",False,True,French,CAD,False,REF59808,False
USER-757246,Scott,Washington,Scott Washington,Other,1951-02-17,74,scott.washington778@yahoo.com,+1-525-955-6258x815,9632 Peck Stravenue Suite 327,Wrightville,Louisiana,British Virgin Islands,07133,2023-03-06 07:47:42,2025-09-22 07:47:42,active,vip,67,173087,2583.39,"sports,beauty",True,False,English,USD,True,REF68153,True
USER-827712,Whitney,Owens,Whitney Owens,Female,1950-11-06,75,whitney.owens30@yahoo.com,901.968.7339x5004,5060 Michael Heights Apt. 687,Port Danielberg,Ohio,France,35165,2025-08-27 07:47:42,2025-10-20 07:47:42,active,occasional,3,3436,1145.33,sports,False,True,Spanish,EUR,False,REF20350,False
USER-749813,Kathy,Ramirez,Kathy Ramirez,Other,1992-07-29,33,kathy.ramirez510@hotmail.com,+1-812-216-5585x239,98259 Martin Ridges Suite 958,Lake Mason,Arizona,Aruba,62595,2022-08-23 07:47:42,2025-11-12 07:47:42,active,regular,13,12529,963.77,grocery,False,True,English,INR,False,REF55293,False
USER-769975,Sandra,Patel,Sandra Patel,Female,1963-09-01,62,sandra.patel257@hotmail.com,570-255-1694x0974,30913 Scott Manor Apt. 636,New Cristina,New Mexico,Myanmar,81731,2023-05-09 07:47:42,2025-10-23 07:47:42,active,loyal,32,47962,1498.81,toys,False,False,French,USD,True,REF96275,False
USER-387813,Jonathan,Carr,Jonathan Carr,Male,1971-06-01,54,jonathan.carr886@hotmail.com,001-702-783-8578x6527,434 Bush Spurs Suite 575,Chelseaborough,Wyoming,Philippines,32812,2022-01-25 07:47:42,2025-11-24 07:47:42,active,new,0,0,0.0,"sports,books",False,True,Spanish,CAD,False,REF42850,True
USER-758765,Justin,Michael,Justin Michael,Male,1950-09-06,75,justin.michael643@yahoo.com,919-686-6524x0415,19933 Elizabeth Pines Apt. 301,East Maria,New Mexico,San Marino,36038,2022-04-16 07:47:42,2025-11-25 07:47:42,active,regular,19,5546,291.89,"home,electronics,grocery",False,False,Spanish,EUR,False,REF27322,False
USER-656639,Robert,Love,Robert Love,Other,1990-01-08,35,robert.love851@hotmail.com,001-520-282-6773x45401,2400 Bradley Coves Suite 478,Khanburgh,Idaho,United States Minor Outlying Islands,05264,2024-12-28 07:47:42,2025-10-29 07:47:42,inactive,new,0,0,0.0,"beauty,toys",True,False,English,EUR,False,REF39571,False
USER-986827,Alice,Small,Alice Small,Other,1984-01-21,41,alice.small93@hotmail.com,543.415.2742x054,1227 Boyle Avenue,Wilcoxhaven,South Dakota,New Zealand,43483,2021-06-24 07:47:42,2025-10-11 07:47:42,active,vip,187,114796,613.88,"books,grocery,sports",False,True,Spanish,INR,True,REF13280,False
USER-739717,Dean,Young,Dean Young,Male,1966-09-18,59,dean.young65@yahoo.com,649-390-4530x17426,79568 Todd Unions Apt. 391,Christinabury,Maine,Northern Mariana Islands,18008,2022-05-08 07:47:42,2025-10-02 07:47:42,active,new,0,0,0.0,"clothing,grocery",True,True,French,INR,False,REF25220,True
USER-346205,Alicia,Rice,Alicia Rice,Other,1999-04-19,26,alicia.rice398@gmail.com,001-410-788-3982,87072 Bryant Centers Suite 406,Wilsonborough,North Dakota,Timor-Leste,94468,2023-05-15 07:47:42,2025-10-14 07:47:42,active,occasional,5,3933,786.6,"home,sports,beauty",True,False,Hindi,INR,False,REF46666,True
USER-823811,Dawn,Smith,Dawn Smith,Female,1994-02-22,31,dawn.smith455@hotmail.com,206-651-8017,6766 Felicia Shore Apt. 512,Port Darlene,Idaho,Ireland,96090,2023-06-03 07:47:42,2025-10-31 07:47:42,active,occasional,1,3509,3509.0,"beauty,electronics,sports",False,True,English,INR,False,REF22015,True
USER-772875,Victoria,Long,Victoria Long,Other,1969-01-18,56,victoria.long995@hotmail.com,500.547.8686,69033 Craig Bypass,West Jacob,Minnesota,Kuwait,95531,2025-10-17 07:47:42,2025-11-24 07:47:42,active,occasional,2,1531,765.5,clothing,True,True,Spanish,GBP,False,REF29340,True
USER-390743,Jeremy,Powers,Jeremy Powers,Male,1999-11-03,26,jeremy.powers554@gmail.com,606.573.8302,83644 Angela Ramp Apt. 687,Barbaramouth,Washington,Suriname,31552,2024-07-04 07:47:42,2025-11-08 07:47:42,active,loyal,47,20844,443.49,"sports,books",False,True,Spanish,GBP,True,REF16868,True
USER-877747,Amber,Cooper,Amber Cooper,Female,1974-08-06,51,amber.cooper117@hotmail.com,(685)466-2462x8733,3435 Sandra Vista,New Robertchester,New Jersey,Sri Lanka,73545,2021-09-24 07:47:42,2025-11-22 07:47:42,active,regular,16,13408,838.0,"sports,books",True,False,German,USD,False,REF17972,False
USER-988456,Jacqueline,Nichols,Jacqueline Nichols,Female,1980-10-17,45,jacqueline.nichols703@gmail.com,5469990139,173 Randy Garden,Susantown,Michigan,Cote d'Ivoire,28263,2025-04-22 07:47:42,2025-09-29 07:47:42,inactive,occasional,4,1102,275.5,"home,electronics",True,False,Hindi,CAD,False,REF81874,False
USER-499407,Andrea,Rowe,Andrea Rowe,Other,1974-04-26,51,andrea.rowe302@yahoo.com,+1-954-745-8771,204 Phillips Flat,Lawrenceton,Indiana,United States Virgin Islands,74232,2023-05-15 07:47:42,2025-09-27 07:47:42,inactive,occasional,1,1437,1437.0,"sports,grocery,toys",True,False,French,INR,False,REF62262,False
USER-865054,Gary,James,Gary James,Male,1987-10-19,38,gary.james438@gmail.com,485.247.7725x2287,312 Jeffery Motorway,Port Elizabethtown,Arizona,Malta,54554,2024-02-28 07:47:42,2025-09-06 07:47:42,inactive,regular,9,16252,1805.78,clothing,True,True,German,USD,False,REF58843,True
USER-683397,Jake,Williamson,Jake Williamson,Male,1970-08-15,55,jake.williamson980@hotmail.com,270.808.8600x8484,4615 Stevens Gardens Apt. 410,North Alicebury,Idaho,Sri Lanka,25657,2022-10-06 07:47:42,2025-09-20 07:47:42,active,regular,8,11730,1466.25,"toys,grocery,beauty",True,False,Hindi,GBP,False,REF56090,True
USER-705991,Clayton,Gray,Clayton Gray,Other,1994-07-02,31,clayton.gray159@yahoo.com,2025176591,902 Smith Fords Apt. 614,Nelsonland,Vermont,Croatia,90210,2022-03-26 07:47:42,2025-09-30 07:47:42,active,regular,8,10736,1342.0,"clothing,toys",False,True,German,CAD,False,REF91490,True
USER-738577,Francisco,Allen,Francisco Allen,Other,1954-10-20,71,francisco.allen711@yahoo.com,+1-885-762-1850x16315,8662 Miller River,Kristenmouth,South Dakota,Antarctica (the territory South of 60 deg S),64805,2024-05-31 07:47:42,2025-11-27 07:47:42,active,loyal,42,44982,1071.0,"beauty,electronics",True,True,Hindi,INR,True,REF19120,True
USER-876962,Kenneth,Wright,Kenneth Wright,Other,2005-12-28,19,kenneth.wright94@gmail.com,726-626-5511x047,01581 Shields Bridge Suite 661,East Ryanside,Florida,Bosnia and Herzegovina,73211,2021-09-23 07:47:42,2025-09-24 07:47:42,active,regular,18,12432,690.67,"books,beauty",False,True,English,EUR,False,REF30632,True
USER-806707,Nathaniel,Hansen,Nathaniel Hansen,Male,1990-03-04,35,nathaniel.hansen454@hotmail.com,826.622.4447x21264,937 Derek Avenue Suite 596,Johnathanbury,California,Liberia,94990,2022-03-15 07:47:42,2025-10-07 07:47:42,active,regular,19,11785,620.26,"clothing,home,sports",True,False,Hindi,INR,False,REF79066,False
USER-147623,Robert,Rivera,Robert Rivera,Male,1982-04-08,43,robert.rivera614@yahoo.com,+1-992-545-9375x2654,398 Erin Plaza,Lisafurt,Missouri,Greece,48344,2025-08-09 07:47:42,2025-11-30 07:47:42,active,regular,11,17572,1597.45,"books,home",True,True,German,INR,False,REF33028,True
USER-498676,Anthony,Acosta,Anthony Acosta,Other,1962-09-01,63,anthony.acosta236@gmail.com,341.967.2434x266,8911 Diane Knoll,Fergusonchester,New Mexico,Netherlands Antilles,71757,2023-02-09 07:47:42,2025-09-20 07:47:42,active,occasional,3,1090,363.33,"electronics,sports,grocery",False,True,French,CAD,False,REF66267,False
USER-843963,Gabriel,Salazar,Gabriel Salazar,Other,1981-07-06,44,gabriel.salazar297@hotmail.com,+1-565-961-0143x88899,0714 Knapp Corner,Bartonshire,Montana,Holy See (Vatican City State),90997,2025-04-08 07:47:42,2025-10-10 07:47:42,active,vip,133,140111,1053.47,"grocery,toys,beauty",False,True,German,USD,True,REF41891,False
USER-717476,Audrey,Shepard,Audrey Shepard,Female,1974-01-24,51,audrey.shepard81@yahoo.com,657-238-7571x7751,382 Mark Meadow,North Melindaville,Virginia,Sudan,89255,2023-09-11 07:47:42,2025-10-22 07:47:42,active,occasional,2,3228,1614.0,clothing,True,False,French,EUR,False,REF40968,True
